id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
131244,Giardino dei Melograni  Economy Room,630328,Kosher House,Isole,Cannaregio,45.44654,12.32819,Hotel room,105,1,37,2021-08-15,0.37,23,322,10,
131822,Giardino dei Melograni triple room,630328,Kosher House,Isole,Cannaregio,45.44472,12.32682,Hotel room,155,1,7,2013-07-21,0.08,23,324,0,
131895,Giardino dei Melograni DUS,630328,Kosher House,Isole,Cannaregio,45.44456,12.32779,Hotel room,105,1,8,2015-08-13,0.07,23,320,0,
131939,Giardino dei Melograni family room,630328,Kosher House,Isole,Cannaregio,45.44478,12.3282,Hotel room,215,1,2,2016-10-23,0.02,23,321,0,
134035,HAPPY AND LUMINOUS FLAT IN VENICE WITH TERRACE,653451,Sara,Isole,Castello,45.43437,12.34641,Entire home/apt,111,2,72,2021-11-02,0.58,1,290,6,
137087,"Charming & Bohémienne, a cozy stay in San Marco",264845,Ilaria,Isole,Castello,45.43704,12.3469,Entire home/apt,109,2,90,2021-09-12,0.80,1,280,4,
137304,"""BOUDOIR"" IN10 MINUTES FROM VENICE",671512,Zoia,Terraferma,Piave 1860,45.48706,12.24687,Private room,59,1,118,2017-10-29,1.03,1,352,1,
139786,Ca' Grassi 2 Charme Apartment,669047,Views On Venice,Isole,San Marco,45.4349,12.32989,Entire home/apt,245,3,23,2019-10-12,0.19,82,358,0,M02704210830
139802,Ca' Grassi 1 Apartment for 4/5 Guests,669047,Views On Venice,Isole,San Marco,45.43524,12.32987,Entire home/apt,279,3,43,2019-10-21,0.40,82,340,1,M02704210829
140197,Nido D'Amore- Zona: Rialto,683035,Paola,Isole,Cannaregio,45.43976,12.336,Entire home/apt,86,1,719,2021-10-19,5.77,1,323,61,CODICE IDENTIFICATIVO: M0270421099
142085,Widmann apartment in Venice centre,1878243,Elisabetta,Isole,Cannaregio,45.44242,12.33955,Entire home/apt,80,7,336,2021-01-07,2.78,3,128,3,
142868,Luxury new refurbished apt. Venice,693554,Valentina,Isole,Castello,45.43209,12.35124,Entire home/apt,150,3,202,2019-06-17,1.67,2,228,0,
145324,Double room with a View of the city,703872,Leonardo E Irene,Isole,Cannaregio,45.44285,12.34019,Private room,60,1,418,2019-10-27,3.40,3,163,3,
145631,My Casa Allegra Venice Mestre Private Studio!,704911,Alessandra,Terraferma,Villaggio San Marco,45.4832,12.2586,Private room,50,2,609,2019-07-30,4.83,1,0,0,
146821,Ca' dell' Ambasciatore Venezia,709828,Roberto,Isole,Castello,45.43101,12.35369,Entire home/apt,390,3,119,2021-10-09,1.13,2,78,5,M0270429577
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.4362,12.34389,Hotel room,110,2,25,2019-04-16,0.31,3,329,0,
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44087,12.34119,Entire home/apt,85,1,253,2021-06-20,2.23,2,171,8,
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44085,12.32833,Entire home/apt,86,3,283,2021-10-24,2.49,6,311,8,
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44019,12.33174,Entire home/apt,111,3,209,2021-08-22,1.95,6,276,4,
160017,"Venice: house in the green, wi-fi",767044,Elisabetta,Terraferma,Bissuola,45.50075,12.26594,Entire home/apt,80,1,116,2018-06-22,1.43,1,188,0,M0270420940
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.4341,12.3211,Entire home/apt,109,2,306,2019-08-31,2.62,2,303,10,
163685,Ca'Falcao - Air-conditioning & Wifi,781124,Nicolò,Isole,Cannaregio,45.44375,12.32555,Entire home/apt,100,3,320,2019-10-01,2.87,2,225,0,
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.43548,12.34241,Hotel room,40,2,150,2019-09-18,1.26,3,304,2,
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43821,12.3328,Hotel room,59,2,315,2021-11-24,3.53,4,307,19,
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43528,12.33741,Entire home/apt,100,2,178,2021-10-05,1.44,1,151,19,
167168,Ca 'Barba FLAT - Rialto,214390,Alessandro,Isole,San Polo,45.439,12.3319,Entire home/apt,338,4,12,2019-01-03,0.14,4,360,0,
170523,"Wi-Fi Venice Home: only 2 persons, loving",813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49611,12.24975,Entire home/apt,48,5,188,2019-09-07,1.57,2,340,6,
175509,Guest House BELLA ONDA (3x triple),848085,Valentina,Terraferma,Tessera,45.50346,12.3262,Hotel room,134,1,35,2020-01-24,0.47,5,360,2,
184374,ARABESQUE MARRAKESH DOUBLE VENICE,716234,Paola,Isole,Castello,45.43717,12.34163,Hotel room,90,2,71,2017-06-05,0.57,3,321,0,
202466,VIVALDI CANAL VIEW - BIENNALE & VIA GARIBALDI,334601,Valentina,Isole,Castello,45.43192,12.35662,Entire home/apt,90,2,158,2019-07-12,1.29,3,326,5,
208801,Bright apartment in the heat of Venice with WIFI,1028258,Sandra,Isole,Castello,45.43798,12.33922,Entire home/apt,60,3,456,2019-11-10,3.80,2,0,0,
217591,Royal Apartments Ca' Pierre,1123859,Lorenzo,Isole,Castello,45.43561,12.34661,Entire home/apt,180,1,38,2015-10-22,0.31,1,316,0,
218393,Wi-Fi Venice Little Garden: only 1 person,813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49621,12.24804,Entire home/apt,39,5,200,2019-11-27,1.62,2,347,5,
220238,Large apartment for 4,693554,Valentina,Isole,Castello,45.43125,12.35303,Entire home/apt,153,3,219,2021-05-31,1.87,2,196,8,
234465,Sunny house Venice,1227993,Giorgio,Isole,Dorsoduro,45.43176,12.31932,Entire home/apt,110,3,42,2019-10-14,0.79,2,321,0,
236585,lovely apartment Venice Lido with terrace,1240373,Francy,Isole,Lido,45.4178,12.37249,Entire home/apt,74,3,175,2019-04-08,1.50,1,154,9,
238362,Villa aiTigli Room 1 with bathroom: up to 4 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Hotel room,66,1,82,2019-12-27,1.03,5,322,1,
238374,Villa aiTigli Room 2 with bathroom: up to 5 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,103,2021-11-16,1.32,5,348,3,
238380,Villa ai Tigli - Room 3 - 3 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,65,2019-11-02,0.58,5,289,1,
238383,Villa aiTigli-Room 4-Bathroom in Room-Disabilities,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,86,2018-10-31,1.22,5,310,0,
242296,blacksmith's hearth,1271580,Adriana,Isole,Cannaregio,45.44641,12.32318,Entire home/apt,98,3,260,2019-10-10,2.22,1,148,0,
247270,Venice Apartments in Mestre,1296429,Tiziana,Terraferma,Chirignago,45.48598,12.19736,Entire home/apt,105,4,154,2019-07-28,1.48,2,333,0,
256874,"b&b S.Marco Venice, canal view room",1351366,Marco E Alice,Isole,Castello,45.43625,12.3456,Private room,106,3,25,2018-11-05,0.28,2,355,0,
260204,Conceptual Devices Apartment 2,1365288,Antonio,Isole,Cannaregio,45.44382,12.32964,Entire home/apt,85,5,160,2018-05-29,1.33,2,350,9,
260487,Waterfront Retreat in Renovated Historic Building,1366623,Ivana,Isole,Giudecca,45.42833,12.31972,Entire home/apt,130,1,320,2021-09-26,2.72,1,158,14,
261432,Rooftop Studio in Cannaregio (CDA1),1365288,Antonio,Isole,Cannaregio,45.44254,12.3293,Entire home/apt,65,5,151,2018-09-04,1.23,2,353,11,
261640,balcony canal view central Venice,1351366,Marco E Alice,Isole,Castello,45.43627,12.34559,Private room,98,3,54,2017-08-07,0.62,2,350,0,
263796,Dimora Canaletto - Casa dei Pittori,1384217,Simone - Francesco,Isole,Santa Croce,45.4392,12.32712,Entire home/apt,214,2,3,2018-06-28,0.04,7,360,0,
265406,large double room-> heart of Venice,703872,Leonardo E Irene,Isole,Cannaregio,45.44285,12.34019,Private room,63,1,461,2019-09-04,4.13,3,162,1,
268865,AltanaAlbaChiara BestViewOfVenice SANITIZED,1408761,Chiara,Isole,San Marco,45.43695,12.33552,Entire home/apt,154,3,200,2021-10-14,1.77,4,209,14,M0270421406
272585,Apartment Fiori della Laguna,1426634,Claudia,Isole,Dorsoduro,45.43112,12.3371,Entire home/apt,60,2,115,2019-10-03,0.99,1,353,5,
284305,CASA CLARA lots of comfort & space!,1480780,Ivo... & Family,Terraferma,Marghera,45.47799,12.22678,Entire home/apt,80,2,275,2021-08-11,2.47,1,347,8,
286350,Corte dei Santi - San Marco,1490179,Laura,Isole,San Polo,45.43818,12.32721,Entire home/apt,100,2,20,2017-12-23,0.24,5,214,1,
286388,Nice apartment in a building with a courtyard,1490179,Laura,Isole,Dorsoduro,45.43628,12.32526,Entire home/apt,80,2,69,2019-07-01,0.67,5,132,4,
286939,Corte dei Santi - San Geremia,1490179,Laura,Isole,San Polo,45.43714,12.32526,Entire home/apt,100,2,36,2015-08-07,0.36,5,222,1,
